ticket_id,ticket_text,category,priority,department,sentiment,root_cause,resolution_steps,ticket_status,created_at,resolved_at,recommended_action
TKT-3841,"Penetration testing scheduled for next week, need coordination. Low priority, can wait until next week. Thanks in advance.",Security,Low,Security Team,Neutral,Phishing email bypassed spam filter due to spoofed domain,Corrected GPO scope to include affected OU. Forced gpupdate. Verified USB ports blocked on test workstation.,Closed,14-04-2026 05:24,14-04-2026 22:38,Queue for Security Team — Respond within 24 hours
TKT-4480,Is there a guide for using the new time tracking system? Need this fixed within the hour.,General IT,High,Service Desk,Neutral,BYOD policy document not easily discoverable on intranet,Created folder structure guide for the shared drive. Mapped network drive on user's laptop.,Closed,28-04-2026 04:54,28-04-2026 07:38,Assign to Service Desk — Target 2-hour resolution
TKT-0410,DNS resolution failing for internal websites. I have a workaround but it's slowing me down.,Network/VPN,Medium,Infra Team,Frustrated,Incorrect VLAN tagging after maintenance window,Flushed DNS cache and reconfigured DNS servers to 8.8.8.8 and 8.8.4.4. Verified connectivity restored.,Closed,28-03-2026 06:35,28-03-2026 15:42,"Assign to Infra Team — Follow up with user, target 4-hour resolution"
TKT-4788,SYSTEM DOWN: Can I get a desk phone instead of using my mobile?,General IT,Critical,Service Desk,Neutral,Time tracking system user guide not updated after recent upgrade,"Walked user through laptop setup: Wi-Fi, VPN, email, Teams, and printer. Provided setup checklist document.",Reopened,23-03-2026 03:13,23-03-2026 04:37,IMMEDIATE ESCALATION to Service Desk — Page on-call engineer
TKT-1310,"Can't install the required software, getting admin permission error. I have a workaround but it's slowing me down. This is unacceptable, I can't believe this is still broken.",Software/Application,Medium,Application Support,Frustrated,License server unreachable due to network segmentation change,Restarted CRM application server and increased DB connection pool from 50 to 150. Login working normally.,Closed,29-05-2026 08:48,29-05-2026 18:56,"Assign to Application Support — Follow up with user, target 4-hour resolution"
TKT-3776,Received a suspicious phishing email claiming to be from HR. I have a workaround but it's slowing me down. Every minute counts!,Security,Medium,Security Team,Urgent,Investigation in progress,Pending — ticket assigned to engineer,Open,19-03-2026 03:28,,Queue for Security Team — Standard SLA (8 hours)
TKT-4124,"Need to disable TLS 1.0 and 1.1 on all our web servers. Can't do any work until this is resolved. Terrible experience, I expect better from our IT team.",Security,High,Security Team,Frustrated,Developer deployed API without authentication middleware,Added web app to vulnerability scanner scope. Ran initial scan. Found 3 medium-risk issues — remediation tickets created.,Closed,30-05-2026 00:34,30-05-2026 02:08,Priority escalation to Security Team — Assign senior engineer
TKT-2614,"Teams channel notifications are not working on my phone. It's causing some inconvenience but I can manage for now. I've raised this issue 3 times already, very disappointed.",Email/Communication,Medium,Collaboration Team,Frustrated,Investigation in progress,Pending — ticket assigned to engineer,Open,16-03-2026 22:36,,"Assign to Collaboration Team — Follow up with user, target 4-hour resolution"
TKT-4510,"Need help organizing files on the shared drive. Just curious about this, no hurry.",General IT,Low,Service Desk,Neutral,IT policy documents moved to new SharePoint site — old link broken,Shared BYOD policy document. Explained personal device registration process via IT portal.,Closed,05-06-2026 01:50,06-06-2026 17:04,Queue for Service Desk — Respond within 24 hours
TKT-1628,"Excel is freezing when opening large files. Low priority, can wait until next week.",Software/Application,Low,Application Support,Neutral,Java heap space configured too low in application config,Increased JVM heap from 512MB to 2GB in app config. Restarted application. No more OOM errors.,Closed,16-04-2026 02:00,17-04-2026 23:55,Queue for Application Support — Respond within 24 hours
TKT-0814,"Laptop charger is sparking, this is a safety hazard! Please look into this when you get a chance. Happy to provide more details if needed.",Hardware,Medium,Desktop Support,Neutral,Trackpad flex cable loose connection,Opened laptop chassis and reseated display cable. Tested with external monitor to confirm fix. Flickering resolved.,Closed,13-04-2026 02:31,13-04-2026 12:04,Queue for Desktop Support — Standard SLA (8 hours)
TKT-0695,SYSTEM DOWN: Scanner in HR department is not scanning properly. This is extremely urgent!,Hardware,Critical,Desktop Support,Urgent,Paper feed roller worn out from extensive use,Diagnosed motherboard failure. Replaced motherboard under warranty. Restored user data from backup.,Closed,20-03-2026 00:47,20-03-2026 02:18,IMMEDIATE ESCALATION to Desktop Support — Page on-call engineer
TKT-2187,Need to set up VPN credentials for a new contractor. This is just a general question.,Account/Access,Low,IAM Team,Neutral,MFA token seed desynchronized after phone factory reset,Processed access request with manager's verbal approval. Granted read-only DB access. Logged in audit trail.,Closed,05-04-2026 22:24,07-04-2026 02:14,Queue for IAM Team — Respond within 24 hours
TKT-2912,Auto-replies are not working for my out-of-office message. Need this fixed within the hour.,Email/Communication,High,Collaboration Team,Neutral,Calendar delegate permissions misconfigured,Submitted delisting request for mail server IP. Configured SPF/DKIM records. External emails flowing.,Closed,30-03-2026 07:28,30-03-2026 10:10,Assign to Collaboration Team — Target 2-hour resolution
TKT-1730,"Adobe Acrobat license has expired, can't edit PDFs. Would appreciate if this could be fixed today. Let me know if you need more info.",Software/Application,Medium,Application Support,Neutral,License server unreachable due to network segmentation change,Updated license server IP in Adobe config. Reactivated license. PDF editing functionality restored.,Reopened,11-05-2026 22:03,12-05-2026 03:51,Queue for Application Support — Standard SLA (8 hours)
TKT-2195,Need temporary elevated privileges for system maintenance. Would appreciate if this could be fixed today.,Account/Access,Medium,IAM Team,Urgent,Investigation in progress,Pending — ticket assigned to engineer,Open,16-05-2026 23:32,,Queue for IAM Team — Standard SLA (8 hours)
TKT-3970,Need to implement DLP policies for email attachments. Would appreciate if this could be fixed today.,Security,Medium,Security Team,Urgent,Brute force attack from foreign IP — weak password policy,Corrected GPO scope to include affected OU. Forced gpupdate. Verified USB ports blocked on test workstation.,Closed,09-04-2026 23:05,10-04-2026 06:08,Queue for Security Team — Standard SLA (8 hours)
TKT-2781,"My email mailbox is full, need storage quota increased. No rush, whenever you get a chance.",Email/Communication,Low,Collaboration Team,Neutral,Mailbox exceeded 50GB quota — archiving policy not applied,Submitted delisting request for mail server IP. Configured SPF/DKIM records. External emails flowing.,Closed,16-03-2026 05:15,17-03-2026 07:56,Queue for Collaboration Team — Respond within 24 hours
TKT-3834,"Need vulnerability assessment for our new web application. No rush, whenever you get a chance.",Security,Low,Security Team,Neutral,USB blocking GPO not applied to the correct OU in AD,Quarantined phishing email from all mailboxes. Added sender domain to block list. Sent awareness alert to users.,Closed,03-04-2026 01:17,03-04-2026 20:18,Queue for Security Team — Respond within 24 hours
TKT-4356,High Priority: Someone is sending emails from my account without my knowledge. Need immediate assistance!,Security,High,Security Team,Urgent,User downloaded infected attachment from personal email,Corrected GPO scope to include affected OU. Forced gpupdate. Verified USB ports blocked on test workstation.,Closed,29-05-2026 00:47,29-05-2026 03:32,Priority escalation to Security Team — Assign senior engineer
TKT-4929,Need help setting up my work phone with company email. This needs IMMEDIATE attention! Every minute counts!,General IT,Critical,Service Desk,Urgent,VPN required for intranet access from home — user unaware,"Walked user through laptop setup: Wi-Fi, VPN, email, Teams, and printer. Provided setup checklist document.",Closed,08-03-2026 00:27,08-03-2026 00:49,IMMEDIATE ESCALATION to Service Desk — Page on-call engineer
TKT-0585,"DNS resolution failing for internal websites. All users are affected, total outage! Terrible experience, I expect better from our IT team.",Network/VPN,Critical,Infra Team,Frustrated,Routing table corruption after configuration push,Updated firewall ACL rules to allow traffic on ports 443 and 8443. Tested with curl and browser.,Closed,07-05-2026 03:41,07-05-2026 05:11,IMMEDIATE ESCALATION to Infra Team — Page on-call engineer
TKT-4775,Looking for documentation on our internal API standards. Can't do any work until this is resolved. Really frustrated with the IT support response time.,General IT,High,Service Desk,Frustrated,Investigation in progress,Pending — ticket assigned to engineer,Open,09-03-2026 08:28,,Priority escalation to Service Desk — Assign senior engineer
TKT-3460,"Database disk usage is at 95%, need urgent cleanup. Not urgent at all, just planning ahead.",Database,Low,DBA Team,Neutral,Schema migration tool not available in restricted environment,Created schema using DBA admin account. Granted appropriate permissions to development team. Schema ready for use.,Reopened,09-05-2026 04:20,10-05-2026 13:19,Queue for DBA Team — Respond within 24 hours
TKT-0920,Scanner in HR department is not scanning properly. Please look into this when you get a chance.,Hardware,Medium,Desktop Support,Frustrated,Wireless mouse receiver USB port malfunction,Diagnosed motherboard failure. Replaced motherboard under warranty. Restored user data from backup.,Reopened,05-04-2026 08:44,05-04-2026 19:04,"Assign to Desktop Support — Follow up with user, target 4-hour resolution"
TKT-3751,"Received a suspicious phishing email claiming to be from HR. No rush, whenever you get a chance. Let me know if you need more info.",Security,Low,Security Team,Neutral,Developer deployed API without authentication middleware,Blocked IP range in firewall. Force-reset user password. Enabled account lockout policy (5 attempts / 15 min).,Closed,23-04-2026 07:33,24-04-2026 01:50,Queue for Security Team — Respond within 24 hours
TKT-1158,Docking station not detecting external monitors. This is just a general question.,Hardware,Low,Desktop Support,Neutral,Motherboard power regulation IC failure,Uninstalled conflicting Realtek audio driver. Installed Microsoft-signed driver. Microphone detected in Teams.,Closed,04-05-2026 23:09,05-05-2026 06:45,Queue for Desktop Support — Respond within 24 hours
TKT-3670,Deadlock detected in the transaction processing module. Not super urgent but affecting my productivity.,Database,Medium,DBA Team,Neutral,Unoptimized query with multiple nested subqueries and no limit clause,"Added composite index on (customer_id, created_at). Query time reduced from 45s to 0.3s. Monitored for 1 hour.",Closed,10-04-2026 23:18,11-04-2026 06:19,Queue for DBA Team — Standard SLA (8 hours)
TKT-4801,ASAP: How do I set up my new laptop for the first time? Thanks in advance.,General IT,High,Service Desk,Neutral,Software request form link updated but not communicated,Pushed MDM profile to phone via Intune. Configured company email and Teams. Verified sync working.,Closed,02-04-2026 07:12,02-04-2026 08:25,Assign to Service Desk — Target 2-hour resolution
TKT-0724,External hard drive not being recognized by the system. I have a workaround but it's slowing me down.,Hardware,Medium,Desktop Support,Neutral,Trackpad flex cable loose connection,Tested USB ports — rear port functional. Replaced wireless receiver. Updated mouse firmware to v2.1.,Closed,15-05-2026 01:12,15-05-2026 05:02,Queue for Desktop Support — Standard SLA (8 hours)
TKT-2735,Need to set up a distribution list for the new marketing team. This is just a general question. Happy to provide more details if needed.,Email/Communication,Low,Collaboration Team,Neutral,External email relay IP blacklisted by recipient's spam filter,Applied auto-archive policy for emails older than 1 year. Freed 15GB. Mailbox operational.,Closed,10-05-2026 03:11,10-05-2026 10:22,Queue for Collaboration Team — Respond within 24 hours
TKT-1520,Need license renewal for our project management tool. It's causing some inconvenience but I can manage for now. Need immediate assistance!,Software/Application,Medium,Application Support,Urgent,Zoom GPU acceleration conflicting with integrated graphics driver,Increased Excel memory allocation. Enabled 64-bit mode. Tested with 500K row file — opens in 8 seconds.,Closed,22-04-2026 00:55,22-04-2026 10:10,Queue for Application Support — Standard SLA (8 hours)
TKT-4732,"How to access the company intranet from home? Low priority, can wait until next week. This has been going on for days and nobody has helped!",General IT,Low,Service Desk,Frustrated,Mobile device management profile not pushed to new phone,Created folder structure guide for the shared drive. Mapped network drive on user's laptop.,Closed,19-04-2026 03:29,19-04-2026 15:56,Queue for Service Desk — Respond within 24 hours
TKT-1396,The automated testing suite is producing false positives. I have a workaround but it's slowing me down.,Software/Application,Medium,Application Support,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,01-05-2026 07:22,,Queue for Application Support — Standard SLA (8 hours)
TKT-1487,The inventory management tool is showing incorrect data. Please look into this when you get a chance. Happy to provide more details if needed.,Software/Application,Medium,Application Support,Neutral,Windows update overwrote Python PATH environment variable,Increased Excel memory allocation. Enabled 64-bit mode. Tested with 500K row file — opens in 8 seconds.,Closed,26-05-2026 07:04,26-05-2026 12:16,Queue for Application Support — Standard SLA (8 hours)
TKT-2949,Need to migrate old email archives to the new Exchange server. It's causing some inconvenience but I can manage for now. Really frustrated with the IT support response time.,Email/Communication,Medium,Collaboration Team,Frustrated,External email relay IP blacklisted by recipient's spam filter,Created distribution list via Exchange admin center. Added 25 members. Test email delivered to all.,Closed,26-03-2026 02:19,26-03-2026 12:26,"Assign to Collaboration Team — Follow up with user, target 4-hour resolution"
TKT-4786,High Priority: How do I connect my Bluetooth headset to the laptop?,General IT,High,Service Desk,Neutral,IT policy documents moved to new SharePoint site — old link broken,Provided USB-C to HDMI adapter. Connected to projector. Configured display to extend mode. Working.,Closed,24-05-2026 02:57,24-05-2026 06:45,Assign to Service Desk — Target 2-hour resolution
TKT-3023,Getting bounce-back errors when emailing our vendor. Please look into this when you get a chance.,Email/Communication,Medium,Collaboration Team,Neutral,External email relay IP blacklisted by recipient's spam filter,Submitted delisting request for mail server IP. Configured SPF/DKIM records. External emails flowing.,Closed,07-03-2026 01:25,07-03-2026 09:51,Queue for Collaboration Team — Standard SLA (8 hours)
TKT-1912,Need to set up VPN credentials for a new contractor. It's causing some inconvenience but I can manage for now. Thanks in advance.,Account/Access,Medium,IAM Team,Neutral,SMTP relay for password reset emails blocked by spam filter,Whitelisted password reset email domain in spam filter. Resent reset link. User confirmed receipt.,Closed,10-03-2026 05:23,10-03-2026 17:17,Queue for IAM Team — Standard SLA (8 hours)
TKT-4988,"Can I get a desk phone instead of using my mobile? Not urgent at all, just planning ahead. Let me know if you need more info.",General IT,Low,Service Desk,Neutral,New employee onboarding documentation not provided during HR induction,Shared updated user guide PDF. Walked user through time entry process. Provided FAQ document.,Closed,09-05-2026 00:16,10-05-2026 21:15,Queue for Service Desk — Respond within 24 hours
TKT-4609,High Priority: What is the process to request new software? Thanks in advance.,General IT,High,Service Desk,Neutral,Mobile device management profile not pushed to new phone,Pushed MDM profile to phone via Intune. Configured company email and Teams. Verified sync working.,Reopened,07-05-2026 08:50,07-05-2026 10:59,Assign to Service Desk — Target 2-hour resolution
TKT-2610,Need to set up a distribution list for the new marketing team. We are losing money every minute! Every minute counts!,Email/Communication,Critical,Collaboration Team,Urgent,Investigation in progress,Pending — ticket assigned to engineer,Open,26-05-2026 02:22,,IMMEDIATE ESCALATION to Collaboration Team — Page on-call engineer
TKT-4919,Need a tutorial on using the company's video conferencing tool. Would appreciate if this could be fixed today. Thanks for always being so helpful!,General IT,Medium,Service Desk,Positive,Software request form link updated but not communicated,Scheduled IT orientation session for next Monday. Prepared laptop kits for 10 new joiners.,Reopened,31-05-2026 01:16,31-05-2026 08:44,Queue for Service Desk — Standard SLA (8 hours)
TKT-4596,Need to know the IT asset tagging process. It's causing some inconvenience but I can manage for now. Happy to provide more details if needed.,General IT,Medium,Service Desk,Neutral,Mobile device management profile not pushed to new phone,"Walked user through laptop setup: Wi-Fi, VPN, email, Teams, and printer. Provided setup checklist document.",Closed,01-05-2026 08:46,01-05-2026 14:36,Queue for Service Desk — Standard SLA (8 hours)
TKT-3409,"Important: Need to optimize slow-running stored procedures. Just a small request, you guys are doing great work!",Database,High,DBA Team,Positive,Replication lag causing stale data on reporting replica,Created schema using DBA admin account. Granted appropriate permissions to development team. Schema ready for use.,Reopened,11-05-2026 00:13,11-05-2026 01:54,Assign to DBA Team — Target 2-hour resolution
TKT-1119,"Keyboard keys are sticking, spilled coffee on it yesterday. Not super urgent but affecting my productivity. This is unacceptable, I can't believe this is still broken.",Hardware,Medium,Desktop Support,Frustrated,Motherboard power regulation IC failure,Updated docking station firmware to v1.4.2. Reinstalled display drivers. Both monitors detected correctly.,Reopened,08-04-2026 23:07,09-04-2026 10:00,"Assign to Desktop Support — Follow up with user, target 4-hour resolution"
TKT-0526,"Unable to connect to VPN since morning, urgent client call in 20 mins. Please look into this when you get a chance. Terrible experience, I expect better from our IT team.",Network/VPN,Medium,Infra Team,Frustrated,ISP upstream link degradation,Renewed SSL certificate on VPN concentrator and restarted the VPN service. Tested remote connectivity.,Closed,12-03-2026 03:50,12-03-2026 15:34,"Assign to Infra Team — Follow up with user, target 4-hour resolution"
TKT-4365,Need to enable disk encryption on all company laptops. Would appreciate if this could be fixed today.,Security,Medium,Security Team,Neutral,USB blocking GPO not applied to the correct OU in AD,Added web app to vulnerability scanner scope. Ran initial scan. Found 3 medium-risk issues — remediation tickets created.,Closed,06-04-2026 23:20,07-04-2026 07:28,Queue for Security Team — Standard SLA (8 hours)
TKT-4666,What is the IT equipment return process for leaving employees? I have a workaround but it's slowing me down.,General IT,Medium,Service Desk,Neutral,BYOD policy document not easily discoverable on intranet,Created folder structure guide for the shared drive. Mapped network drive on user's laptop.,Closed,03-05-2026 01:41,03-05-2026 05:45,Queue for Service Desk — Standard SLA (8 hours)
TKT-3374,Elasticsearch cluster health is showing yellow status. Production is completely down!,Database,Critical,DBA Team,Neutral,Backup job conflicting with nightly ETL process,Restarted replication from snapshot. Verified data consistency with checksum comparison. Lag now under 1 second.,Closed,10-03-2026 02:29,10-03-2026 03:29,IMMEDIATE ESCALATION to DBA Team — Page on-call engineer
TKT-1414,URGENT: Custom dashboard application is not loading any data since morning. Let me know if you need more info.,Software/Application,Critical,Application Support,Neutral,License server unreachable due to network segmentation change,Created software request in ServiceNow. Approved by manager. Deployed VS Code via SCCM. Verified installation.,Closed,18-03-2026 03:02,18-03-2026 04:28,IMMEDIATE ESCALATION to Application Support — Page on-call engineer
TKT-4826,"How do I set up my new laptop for the first time? Not super urgent but affecting my productivity. Terrible experience, I expect better from our IT team.",General IT,Medium,Service Desk,Frustrated,IT orientation not scheduled by HR for the new batch,Created folder structure guide for the shared drive. Mapped network drive on user's laptop.,Closed,20-05-2026 01:29,20-05-2026 09:43,"Assign to Service Desk — Follow up with user, target 4-hour resolution"
TKT-2527,"Unable to join Microsoft Teams meeting, getting connection error. Please look into this when you get a chance. This is unacceptable, I can't believe this is still broken.",Email/Communication,Medium,Collaboration Team,Frustrated,Teams service regional outage affecting message delivery,Created distribution list via Exchange admin center. Added 25 members. Test email delivered to all.,Closed,05-06-2026 07:53,05-06-2026 16:38,"Assign to Collaboration Team — Follow up with user, target 4-hour resolution"
TKT-0891,"ASAP: Webcam quality is very poor, can't be seen in client meetings. Can't wait any longer!",Hardware,High,Desktop Support,Urgent,Trackpad flex cable loose connection,Updated docking station firmware to v1.4.2. Reinstalled display drivers. Both monitors detected correctly.,Closed,08-03-2026 05:48,08-03-2026 06:58,Priority escalation to Desktop Support — Assign senior engineer
TKT-2777,"Unable to join Microsoft Teams meeting, getting connection error. I have a workaround but it's slowing me down.",Email/Communication,Medium,Collaboration Team,Urgent,Mailbox exceeded 50GB quota — archiving policy not applied,Confirmed Microsoft service incident SI-12345. Workaround: use Teams web. Service restored after 2 hours.,Reopened,11-04-2026 22:30,12-04-2026 01:42,Queue for Collaboration Team — Standard SLA (8 hours)
TKT-3378,EMERGENCY: SQL query timeout errors on the reporting dashboard.,Database,Critical,DBA Team,Urgent,Replication lag causing stale data on reporting replica,Identified connection leak in application code. Fixed with try-finally block. Pool usage dropped from 100% to 30%.,Reopened,17-05-2026 22:20,17-05-2026 23:52,IMMEDIATE ESCALATION to DBA Team — Page on-call engineer
TKT-0658,Docking station not detecting external monitors. Would appreciate if this could be fixed today.,Hardware,Medium,Desktop Support,Neutral,Paper feed roller worn out from extensive use,Cleaned paper feed rollers and replaced worn pickup roller assembly. Ran 50-page test print successfully.,Closed,05-05-2026 02:49,05-05-2026 06:49,Queue for Desktop Support — Standard SLA (8 hours)
TKT-3686,"Need to set up read replicas for better performance. All users are affected, total outage! Need immediate assistance!",Database,Critical,DBA Team,Urgent,Schema migration tool not available in restricted environment,Identified connection leak in application code. Fixed with try-finally block. Pool usage dropped from 100% to 30%.,Closed,24-03-2026 22:16,24-03-2026 23:43,IMMEDIATE ESCALATION to DBA Team — Page on-call engineer
TKT-1517,"Jenkins build pipeline has been failing since yesterday. It's causing some inconvenience but I can manage for now. Great job on the last fix, hoping for the same this time.",Software/Application,Medium,Application Support,Positive,Windows update overwrote Python PATH environment variable,Disabled hardware acceleration in Zoom settings. Updated GPU driver to latest version. Screen sharing stable.,Closed,07-04-2026 08:09,07-04-2026 16:59,Queue for Application Support — Standard SLA (8 hours)
TKT-3239,Important: Redis cache is not invalidating properly. This is extremely urgent!,Database,High,DBA Team,Urgent,Stored procedure using cursor-based iteration instead of set operations,"Added composite index on (customer_id, created_at). Query time reduced from 45s to 0.3s. Monitored for 1 hour.",Closed,25-04-2026 04:37,25-04-2026 06:25,Priority escalation to DBA Team — Assign senior engineer
TKT-4482,How to access the company intranet from home? It's causing some inconvenience but I can manage for now.,General IT,Medium,Service Desk,Frustrated,Time tracking system user guide not updated after recent upgrade,Shared updated user guide PDF. Walked user through time entry process. Provided FAQ document.,Closed,15-04-2026 22:28,16-04-2026 10:20,"Assign to Service Desk — Follow up with user, target 4-hour resolution"
TKT-1511,"Zoom keeps crashing during screen sharing. Need this fixed within the hour. This is unacceptable, I can't believe this is still broken.",Software/Application,High,Application Support,Frustrated,Insufficient RAM allocation for Excel 64-bit with large datasets,Created software request in ServiceNow. Approved by manager. Deployed VS Code via SCCM. Verified installation.,Closed,24-03-2026 07:10,24-03-2026 08:18,Priority escalation to Application Support — Assign senior engineer
TKT-1258,"Need Java JDK 17 installed for development work. I have a workaround but it's slowing me down. I've raised this issue 3 times already, very disappointed.",Software/Application,Medium,Application Support,Frustrated,Insufficient RAM allocation for Excel 64-bit with large datasets,Updated SAP GUI to patch 5 which fixes the memory leak. Cleared SAP cache. Tested report generation successfully.,Closed,23-03-2026 01:19,23-03-2026 06:06,"Assign to Application Support — Follow up with user, target 4-hour resolution"
TKT-4579,"Need help setting up my work phone with company email. Boss is escalating this already. Just a small request, you guys are doing great work!",General IT,High,Service Desk,Positive,Projector HDMI port not compatible with USB-C laptop — adapter needed,Configured VPN on user's home laptop. Tested intranet access. Provided VPN usage guide document.,Closed,04-05-2026 01:53,04-05-2026 03:00,Assign to Service Desk — Target 2-hour resolution
TKT-4334,"Need vulnerability assessment for our new web application. Just curious about this, no hurry. Happy to provide more details if needed.",Security,Low,Security Team,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,06-04-2026 00:28,,Queue for Security Team — Respond within 24 hours
TKT-0405,"Network outage in Building B, none of the systems are accessible. Boss is escalating this already. Thanks in advance.",Network/VPN,High,Infra Team,Neutral,Firewall rule blocking outbound traffic on port 443,Expanded DHCP scope range and reduced lease time from 8 hours to 4 hours. Released stale leases.,Closed,13-05-2026 02:29,13-05-2026 04:42,Assign to Infra Team — Target 2-hour resolution
TKT-3455,Data discrepancy found between production and reporting databases. It's causing some inconvenience but I can manage for now. Really frustrated with the IT support response time.,Database,Medium,DBA Team,Frustrated,Schema migration tool not available in restricted environment,Resized oplog to 50GB. Performed initial sync on secondary. Replica set healthy with 0 lag.,Closed,05-05-2026 02:40,05-05-2026 10:39,"Assign to DBA Team — Follow up with user, target 4-hour resolution"
TKT-3882,"Found an exposed API endpoint with no authentication. Boss is escalating this already. Terrible experience, I expect better from our IT team.",Security,High,Security Team,Frustrated,Vendor access request pending security review,Fixed DNS TXT record for domain validation. Renewed SSL cert manually. Configured cert-manager for auto-renewal.,Closed,29-05-2026 00:31,29-05-2026 03:25,Priority escalation to Security Team — Assign senior engineer
TKT-3637,"Migration script failed midway, database is in inconsistent state. Not super urgent but affecting my productivity. Please help ASAP!",Database,Medium,DBA Team,Urgent,Application not releasing database connections — connection leak,Restarted replication from snapshot. Verified data consistency with checksum comparison. Lag now under 1 second.,Closed,31-03-2026 22:09,01-04-2026 06:12,Queue for DBA Team — Standard SLA (8 hours)
TKT-2093,"Service account password needs rotation as per policy. I have a workaround but it's slowing me down. I've raised this issue 3 times already, very disappointed.",Account/Access,Medium,IAM Team,Frustrated,IAM role policy missing required permissions for console access,Updated SAML attribute mapping in IdP configuration. Tested SSO flow. Salesforce login working.,Closed,27-04-2026 06:54,27-04-2026 18:40,"Assign to IAM Team — Follow up with user, target 4-hour resolution"
TKT-4712,"What are the approved cloud storage solutions? Client demo in 1 hour, please help!",General IT,High,Service Desk,Neutral,Software request form link updated but not communicated,Provided USB-C to HDMI adapter. Connected to projector. Configured display to extend mode. Working.,Reopened,15-03-2026 08:53,15-03-2026 09:55,Assign to Service Desk — Target 2-hour resolution
TKT-1741,SYSTEM DOWN: Salesforce integration is broken after the latest API update. Every minute counts!,Software/Application,Critical,Application Support,Urgent,Memory leak in SAP GUI client version 7.70 patch 4,Updated SAP GUI to patch 5 which fixes the memory leak. Cleared SAP cache. Tested report generation successfully.,Closed,26-05-2026 06:52,26-05-2026 08:41,IMMEDIATE ESCALATION to Application Support — Page on-call engineer
